item_id:token,title:token,categories:token_seq,brand:token,sales_type:token,sales_rank:float,price:float
13,Ozzy Osbourne - Live &amp; Loud,"'World Music', 'Europe', 'British Isles', 'Britain'",,Movies & TV,33048.0,
17,Tony Bennett - MTV Unplugged: The Video,"'Pop', 'Oldies', 'Traditional Pop'",,Movies & TV,90260.0,
22,Apocalyptic Love: UK Fan Pack Edition,'Rock',Slash,CDs & Vinyl,774330.0,
21,Chickenfoot III: Classic Rock,"'Rock', 'Hard Rock'",Chickenfoot,CDs & Vinyl,2174797.0,
27,Comatose,'Christian',Skillet,CDs & Vinyl,1323969.0,
29,Transformed Man,'Spoken Word',William Shatner,CDs & Vinyl,3392356.0,
34,David Gilmour VHS,"'Rock', 'Progressive', 'Progressive Rock'",Michael Kamen,Movies & TV,367130.0,
42,Pink Floyd In Concert: Delicate Sound Of Thunder VHS,"'Rock', 'Progressive', 'Progressive Rock'",Pink Floyd,Movies & TV,131822.0,
45,The Wall-Live in Berlin VHS,"'Rock', 'Progressive', 'Progressive Rock'",Bryan Adams,Movies & TV,403355.0,
46,Bob Marley and the Wailers: Live! At the Rainbow VHS,"'World Music', 'Jamaica'",Joseph Forester,Movies & TV,363238.0,
49,Dire Straits: Alchemy Live VHS,'Classic Rock',Paul Comi,Movies & TV,464661.0,
51,Stevie Ray Vaughan - Live at the El Mocambo VHS,"'Blues', 'Regional Blues', 'Texas Blues'",Jack Hedley,Movies & TV,410602.0,
54,Frank Sinatra - A Man and His Music + Ella + Jobim VHS,"'Pop', 'Oldies', 'Traditional Pop'",,Movies & TV,507562.0,
57,Metallica - Cliff 'Em All VHS,'Metal',,Movies & TV,284098.0,
62,Ziggy Stardust &amp; The Spiders From Mars - The Motion Picture VHS,"'Alternative Rock', 'Proto Punk'",David Bowie,Movies & TV,337932.0,
63,Great Rock N Roll Swindle VHS,"'Alternative Rock', 'British Punk'",Malcolm McLaren,Movies & TV,161257.0,
64,Night at Red Rocks VHS,"'Rock', 'Progressive', 'Progressive Rock'",The Moody Blues,Movies & TV,427005.0,
77,U2 - Zoo TV Live from Sydney VHS,"'Pop', 'Dance Pop'",Bono,Movies & TV,163112.0,
81,Peter Gabriel - Secret World Live VHS,"'Rock', 'Progressive', 'Progressive Rock'",Peter Gabriel,Movies & TV,516204.0,
93,Pink Floyd - Pulse VHS,"'Rock', 'Progressive', 'Progressive Rock'",David Gilmour,Movies & TV,282798.0,
94,Cyndi Lauper: Twelve Deadly Cyns VHS,"'Alternative Rock', 'New Wave'",,Movies & TV,456351.0,
95,Design of a Decade: G.H. VHS,"'Pop', 'Dance Pop'",Janet Jackson,Movies & TV,380894.0,
97,Rolling Stones Rock &amp; Roll Circus VHS,"'Classic Rock', 'Psychedelic Rock'",Ian Anderson,Movies & TV,306706.0,
