item_id:token,movie_title:token_seq,release_year:token,class:token_seq
22,Toy Story,1995,Animation Children's Comedy
139,GoldenEye,1995,Action Adventure Thriller
222,Four Rooms,1995,Thriller
43,Get Shorty,1995,Action Comedy Drama
70,Copycat,1995,Crime Drama Thriller
856,Shanghai Triad (Yao a yao yao dao waipo qiao),1995,Drama
199,Twelve Monkeys,1995,Drama Sci-Fi
368,Babe,1995,Children's Comedy Drama
463,Dead Man Walking,1995,Drama
179,Richard III,1995,Drama War
218,Seven (Se7en),1995,Crime Thriller
279,"Usual Suspects, The",1995,Crime Thriller
403,Mighty Aphrodite,1995,Comedy
125,"Postino, Il",1994,Drama Romance
64,Mr. Holland's Opus,1995,Drama
36,French Twist (Gazon maudit),1995,Comedy Romance
304,From Dusk Till Dawn,1996,Action Comedy Crime Horror Thriller
860,Antonia's Line,1995,Drama
55,Angels and Insects,1995,Drama Romance
100,Muppet Treasure Island,1996,Action Adventure Comedy Musical Thriller
385,Braveheart,1995,Action Drama War
88,Taxi Driver,1976,Drama Thriller
559,Rumble in the Bronx,1995,Action Adventure Crime
81,"Birdcage, The",1996,Comedy
60,"Brothers McMullen, The",1995,Comedy
540,Bad Boys,1995,Action
436,Apollo 13,1995,Action Drama Thriller
13,Batman Forever,1995,Action Adventure Comedy Crime
773,Belle de jour,1967,Drama
743,Crimson Tide,1995,Drama Thriller War
35,Crumb,1994,Documentary
235,Desperado,1995,Action Romance Thriller
501,"Net, The",1995,Sci-Fi Thriller
428,Strange Days,1995,Action Crime Sci-Fi
12,"To Wong Foo, Thanks for Everything! Julie Newmar",1995,Comedy
798,Billy Madison,1995,Comedy
649,Clerks,1994,Comedy
561,Disclosure,1994,Drama Thriller
434,Dolores Claiborne,1994,Drama Thriller
791,Eat Drink Man Woman,1994,Comedy Drama
919,Exotica,1994,Drama
316,Ed Wood,1994,Comedy Drama
162,Hoop Dreams,1994,Documentary
416,I.Q.,1994,Comedy Romance
336,Star Wars,1977,Action Adventure Romance Sci-Fi War
3,Legends of the Fall,1994,Drama Romance War Western
438,"Madness of King George, The",1994,Drama
487,Natural Born Killers,1994,Action Thriller
74,Outbreak,1995,Action Drama Thriller
377,"Professional, The",1994,Crime Drama Romance Thriller
206,Pulp Fiction,1994,Crime Drama
358,Priest,1994,Drama
369,Quiz Show,1994,Drama
526,Three Colors: Red,1994,Drama
310,Three Colors: Blue,1993,Drama
161,Three Colors: White,1994,Drama
278,Stargate,1994,Action Adventure Sci-Fi
710,"Santa Clause, The",1994,Children's Comedy
226,"Shawshank Redemption, The",1994,Drama
194,What's Eating Gilbert Grape,1993,Comedy Drama
273,While You Were Sleeping,1995,Comedy Romance
721,Ace Ventura: Pet Detective,1994,Comedy
198,"Crow, The",1994,Action Romance Thriller
182,Forrest Gump,1994,Comedy Romance War
396,Four Weddings and a Funeral,1994,Comedy Romance
290,"Lion King, The",1994,Animation Children's Musical
505,"Mask, The",1994,Comedy Crime Fantasy
511,Maverick,1994,Action Comedy Western
827,Carlito's Way,1993,Crime Drama
