item_id:token,movie_title:token_seq,release_year:token,genre:token_seq
41.0,Toy Story,1995,Animation Children's Comedy
574.0,Jumanji,1995,Adventure Children's Fantasy
1334.0,Grumpier Old Men,1995,Comedy Romance
451.0,Waiting to Exhale,1995,Comedy Drama
1335.0,Father of the Bride Part II,1995,Comedy
256.0,Heat,1995,Action Crime Thriller
577.0,Sabrina,1995,Comedy Romance
2164.0,Tom and Huck,1995,Adventure Children's
2144.0,Sudden Death,1995,Action
844.0,GoldenEye,1995,Action Adventure Thriller
1257.0,"American President, The",1995,Comedy Drama Romance
2263.0,Dracula: Dead and Loving It,1995,Comedy Horror
1684.0,Balto,1995,Animation Children's
491.0,Nixon,1995,Drama
1851.0,Cutthroat Island,1995,Action Adventure Romance
329.0,Casino,1995,Drama Thriller
418.0,Sense and Sensibility,1995,Drama Romance
1959.0,Four Rooms,1995,Thriller
1852.0,Ace Ventura: When Nature Calls,1995,Comedy
2428.0,Money Train,1995,Action
146.0,Get Shorty,1995,Action Comedy Drama
1968.0,Copycat,1995,Crime Drama Thriller
1884.0,Assassins,1995,Thriller
360.0,Powder,1995,Drama Sci-Fi
505.0,Leaving Las Vegas,1995,Drama Romance
1066.0,Othello,1995,Drama
2831.0,Now and Then,1995,Drama
1523.0,Persuasion,1995,Romance
365.0,"City of Lost Children, The",1995,Adventure Sci-Fi
977.0,Shanghai Triad (Yao a yao yao dao waipo qiao),1995,Drama
2744.0,Dangerous Minds,1995,Drama
377.0,Twelve Monkeys,1995,Drama Sci-Fi
3365.0,Wings of Courage,1995,Adventure Romance
382.0,Babe,1995,Children's Comedy Drama
1774.0,Carrington,1995,Drama Romance
384.0,Dead Man Walking,1995,Drama
3179.0,Across the Sea of Time,1995,Documentary
1376.0,It Takes Two,1995,Comedy
222.0,Clueless,1995,Comedy Romance
2158.0,"Cry, the Beloved Country",1995,Drama
240.0,Richard III,1995,Drama War
442.0,Dead Presidents,1995,Action Crime Drama
2160.0,Restoration,1995,Drama
1079.0,Mortal Kombat,1995,Action Adventure
1277.0,To Die For,1995,Comedy Drama
1687.0,How to Make an American Quilt,1995,Drama Romance
243.0,Seven (Se7en),1995,Crime Thriller
