,cohens_d
0,-1.6221360702830434
1,-4.5121419419164335
2,-2.4093607573309224
3,-5.953028399605193
4,-3.965230767350404
5,-3.2389328150076055
6,-3.2412139422567314
7,-4.683238324626077
8,-4.030769900308308
9,-3.9369655276881113
10,-2.439379124762857
11,-1.7127078147373138
12,-3.042689314395466
13,-3.3557473834306624
14,-3.173180026154549
15,-3.777252620132174
16,-2.7380407813594214
17,-3.130623236927396
18,-2.331593612963095
19,-2.355003142296874
20,-1.3220981794394446
21,0.5106320199766081
22,-5.29640935547264
23,-3.80584858887685
24,-5.393439319355077
25,-4.219241185644291
26,-3.685678462396888
27,-4.129941823420174
28,-2.046284505232556
29,-3.54772325687332
30,-2.616604773173284
31,-2.950387924162243
32,-4.830942627050203
33,-4.169094188895382
34,-3.7287757619023356
35,-3.117658558722035
36,-3.9704301455416884
37,-3.940339375359947
38,-4.07103783967825
39,-4.5152848935465695
40,-5.070820871202632
41,-2.881663760814646
42,-3.132611077841293
43,-5.001556365932492
44,0.07593874113868132
45,-3.2704966006170424
46,-3.9269724263062904
47,-0.0037348291268140964
48,-5.776600003055849
49,-3.7510771790681434
50,-4.056533325432851
51,-3.6188469826860525
52,-3.2311065806145485
53,-1.7887748447605563
54,-3.3402670763388143
55,-3.8434980096999083
56,-3.2965197433146396
57,-3.193879453152154
58,-2.8581487692362666
59,-2.875572398313048
60,-2.735338679357375
61,-3.3350021737998383
62,-3.3637997700055204
63,-3.229030597092698
64,-5.153145657437654
65,-3.606685448909172
66,-4.3854574417210195
67,-3.8418265652984425
68,-3.409263039288278
69,-2.5113331707024975
70,-5.018351690933648
71,-3.7688435791799644
72,-3.1181483542499655
73,-4.048287339280686
74,-3.7616256866892606
75,-3.5712471714300085
76,-3.295386880324664
77,-3.629249024333256
78,-3.113125363800301
79,-4.237662069054356
80,-2.9338585395811467
81,-2.2570584705937295
82,-3.2466923087339885
83,-5.186818283884332
84,-2.3966231525295334
85,-4.682494746486067
86,-2.510457178269405
87,-4.6565460019728535
88,-3.5820887757918296
89,-3.822038962689678
90,-4.059434130032564
91,-5.288059003814294
92,-3.374354340592688
93,-3.590137485751679
94,-5.5310834447394095
95,-3.201059760252599
96,-1.757472712382366
97,3.8748811056142802
98,-3.5666827485433785
99,-3.109303888744052
100,-4.3983325699624185
101,-4.491999183832415
102,-3.695823541454953
103,-3.8142350324410472
104,-3.371948805975444
105,0.0745972909610224
106,-5.698298317913389
107,-3.4073322808273483
108,-4.856932906356291
109,-2.4830048916142227
110,-3.5667355039807287
111,-3.582381948685382
112,-4.667874609945505
113,-2.915942354742932
114,0.7033611782316118
115,-2.3157657066977975
116,-4.267514938973287
117,-3.59597405195282
118,-4.350732849534439
119,-3.9629322294961695
120,-3.1426434555242952
121,-6.044359187289604
122,-3.5502792527929232
123,-5.735694102983886
124,-3.007138071647293
125,-5.1233767957279746
126,-3.383855912864586
127,-3.685982425909058
128,-4.465644390675553
129,-2.9726302127255613
130,-2.8860017782685983
131,-1.8841788248998246
132,-4.152994425398621
133,-3.581859734783879
134,-3.85150222806032
135,-3.292040668064848
136,-2.7491302299970055
137,-2.1569778020727055
138,-2.048695397822329
139,-4.187045995029249
140,-3.533866194932112
141,-4.324201548726021
142,-3.143274556234459
143,-3.799344832483488
144,-3.7545296995407815
145,-5.7229894781437745
146,-4.845211244723911
147,-5.19486273442078
148,-2.8801820487221126
149,-5.301917829488617
150,-3.971353462743661
151,-1.9953912326481846
152,-4.07347653285184
153,-4.922130106367538
154,-4.0910605413836665
155,-3.3984790739964006
156,-4.1835322160917405
157,-2.232049857624474
158,-1.5513952332898446
159,-3.923248090580766
160,-4.0230223126608475
161,-2.5832432589017866
162,-3.9994369080890673
163,-3.432321884708729
164,-3.7952150117996593
165,-2.8526374593595967
166,-4.023541280831582
167,-3.669467325409
168,-3.5491504354869368
169,-2.9332888807959616
170,-2.7465787945439373
171,-4.76072806352822
172,-4.439344425649442
173,-3.610132649367082
174,-3.5805639947093395
175,-4.081319388875784
176,-4.434555123596704
177,-3.767077312868129
178,-4.768913077798736
179,-2.7711738328071287
180,-2.515137517575301
181,-4.066978214535142
182,-4.06445438135498
183,-2.9631834451536965
184,-1.4207561173153311
185,-4.989462756366821
186,-4.599090845990141
187,-4.936588908526963
188,-3.8416632551068353
189,-3.5098014408736047
190,-4.762333702970264
191,-4.063250872590268
192,-4.587242792463759
193,-3.4706641951628634
194,-2.777184493830814
195,-4.176251523043042
196,-3.3588787941322304
197,-1.554169125835351
198,-3.1899402208307235
199,-2.6359503387762118
200,-4.099867080428607
201,-5.256574744806407
202,-2.9617499927962254
203,-0.4106120694406619
204,-2.9029123139630384
205,-1.2774750822014647
206,-3.7682980462225584
207,-2.2449697196688163
208,-3.7637436668639395
209,-3.744447823147363
210,-4.379608926367348
211,-0.4076731647100212
212,-1.7281957514702357
213,-5.217849486912799
214,-4.3212803740478725
215,-4.5551696234596335
216,-4.505718499681905
217,-0.30710109912797146
218,-3.910621723837659
219,-2.2582767533291266
220,-5.427075905165072
221,-2.850978377152152
222,-3.899915275098425
223,-1.8886076144269366
224,-3.3533218460855894
225,-4.584044036594232
226,-2.9153558280096328
227,-3.2401529547091883
228,-5.250618183673457
229,-4.2372546876956925
230,-3.1780473646163307
231,-5.148546052740683
232,-4.289416635990208
233,-2.085496509367475
234,-5.195836674816595
235,-3.6961118398887614
236,-4.028781816263384
237,-4.146940349189882
238,-3.3632208777906105
239,-3.6858297650487324
240,-4.773121116769162
241,-6.201904286690801
242,-4.126427169873018
243,-2.5073233704046833
244,-4.244716577237183
245,-3.7361318675031376
246,-1.5340680106845792
247,-2.9270789374979507
248,-4.728717021319583
249,-2.901469260084578
250,-2.8776525670986275
251,-4.834169332769975
252,-2.157367102974445
253,-2.6432160759202277
254,-3.402980340040059
255,-4.105988895291347
256,-2.232857610119711
257,-5.459105838700501
258,-6.227204242459439
259,-3.0416033078619913
260,-4.8479536608294
261,-5.260069430532931
262,-3.6102054598906235
263,-4.076603903738005
264,-4.074174408094441
265,-4.996631471773757
266,-3.129503888348471
267,-3.7636351449551415
268,-3.271898983926615
269,-1.7678252234092338
270,-1.8803025541043605
271,-4.174448301210334
272,-3.5929804032559547
273,-3.113030149575961
274,-3.0815562937339824
275,-3.7401221222760332
276,-4.155006178073759
277,-3.8801203249346483
278,-3.5937982105354243
279,-3.490468590495151
280,-3.311348497130813
281,-4.082295606137074
282,-3.4271243405000136
283,-4.358536362259341
284,-1.3008690862021197
285,-3.4977416340048655
286,-2.776715665290156
287,-0.6983269778157511
288,-3.6191536671022546
289,-3.3540148539627817
290,-3.4907688000233783
291,-3.4258780952859564
292,-3.68098030790752
293,-4.069964874734981
294,-4.220281396576352
295,-6.1140667368545
296,-5.529372728209346
297,-3.837905323780285
298,-2.828747873738939
299,-2.776506153239176
300,-6.228907968979585
301,-3.694582971920863
302,-2.9800261194381723
303,-2.6282910709912954
304,-2.842998428328935
305,-5.219707978733587
306,-3.456565431826518
307,-2.7549906731170286
308,-3.967691649481435
309,-3.3867946812648446
310,-3.178476619673278
311,-3.7122247792942695
312,-2.2684929724679925
313,-4.644760384686136
314,-3.0725306816445994
315,-3.738029717238012
316,-4.283995261139587
317,-3.4585126619648814
318,-4.30530675002016
319,-3.0591328444062382
320,-5.279918117308402
321,-4.4389775035281565
322,-4.641569321031456
323,-3.333468254803179
324,-4.167463216448204
325,-4.116641625567447
326,-4.041921295963951
327,-4.97784326404339
328,-3.213837166513512
329,-4.981753394619236
330,-4.416121475672421
331,-3.566480030647913
332,-3.7617759896902214
333,-3.5087547137013533
334,-4.300582919785754
335,-4.534389635557681
336,-3.0253588302742322
337,-3.3164975519139976
338,-2.2458932140023053
339,-3.409622221349309
340,-3.3551835964185717
341,-3.2688028276549046
342,-5.065786238676428
343,-4.951242730043878
344,-6.2946028241349845
345,-4.511710136261094
346,-3.5535126069797034
347,-3.2542340434986463
