,mean,sd
0,-1.3823986,0.36246642
1,-1.2860861,0.27812347
2,-1.3112552,0.37130353
3,-1.8431427,0.39516598
4,-1.4541767,0.32768402
5,-1.3384496,0.3115886
6,-0.98474133,0.262043
7,-1.331,0.27399746
8,-1.5245512,0.30250487
9,-1.7273763,0.3396674
10,-1.1060644,0.2605811
11,-1.3152382,0.24707943
12,-1.0400242,0.2523204
13,-1.5232582,0.28060064
14,-1.2772862,0.27755618
15,-1.2783934,0.29631647
16,-1.097924,0.24212594
17,-1.1509454,0.25618273
18,-1.2066278,0.2962949
19,-1.3644336,0.2924093
20,0.048457175,0.23187572
21,-0.15637109,0.8409473
22,-1.4422209,0.31527784
23,-1.1519035,0.3190405
24,-1.1741154,0.28547087
25,-1.202552,0.23904759
26,-1.8151096,0.37199706
27,-0.5774485,0.16263475
28,-1.5459173,0.28431815
29,-1.4821427,0.3846249
30,0.05034293,1.0641711
31,-1.3340288,0.30389053
32,-1.1231573,0.24376722
33,-1.1270664,0.2620003
34,-1.2309223,0.28239202
35,-1.6143916,0.3366064
36,-1.2702405,0.29313496
37,-1.4376428,0.3540425
38,-1.1642425,0.22219472
39,-1.7312858,0.31292278
40,-1.2949317,0.2459437
41,-1.1410294,0.28755054
42,-1.5349357,0.3736723
43,-1.4561461,0.31123117
44,-0.16210964,0.4424364
45,-1.2873366,0.3257083
46,-1.4503276,0.3031061
47,0.37756455,0.87471163
48,-1.8391514,0.37713096
49,-1.348463,0.27671236
50,-1.5720842,0.31729746
51,-1.2574371,0.36024028
52,-1.6554142,0.37538776
53,-1.4552828,0.30616495
54,-1.3082609,0.32619426
55,-1.7370125,0.3461927
56,-1.1908247,0.30978063
57,-1.4681089,0.34426513
58,-1.0861084,0.2918016
59,-1.4583168,0.3690098
60,-0.97359276,0.23845044
61,-1.1924305,0.28956166
62,-1.346221,0.35098484
63,-0.8596479,0.21604672
64,-1.6064157,0.3791764
65,-1.6489662,0.321002
66,-1.7801774,0.34488347
67,-1.0333843,0.24458195
68,-1.615412,0.3963227
69,-1.6186359,0.32411373
70,-1.1664445,0.27088612
71,-1.4023478,0.29714546
72,-1.3085625,0.2883297
73,-1.4149909,0.3195332
74,-1.7052612,0.3218946
75,-1.6537735,0.39371842
76,-1.5172303,0.28031638
77,-1.1621466,0.21146338
78,-1.3404152,0.34529975
79,-1.6625469,0.33863527
80,-1.4017146,0.33782002
81,-1.1878281,0.26529905
82,-0.9252863,0.22275352
83,-1.5503714,0.3248985
84,-1.5175998,0.3689454
85,-1.5836643,0.35910928
86,-1.5071795,0.3233883
87,-1.8181168,0.42735985
88,-1.6784073,0.39725477
89,-1.9038366,0.42741224
90,-1.8249391,0.40848485
91,-1.8915184,0.44339085
92,-1.8999054,0.48847404
93,-0.93003255,0.19204573
94,-1.8499962,0.3239349
95,-1.1285751,0.29068056
96,-1.3520159,0.3434801
97,0.34917134,0.49663496
98,-1.1826595,0.27067524
99,-1.3962294,0.3582959
100,-1.4244298,0.35252154
101,-1.5335281,0.2956516
102,-1.4086903,0.32487342
103,-1.433213,0.34300432
104,-1.6159363,0.34104005
105,-0.07179521,0.5012386
106,-1.3995147,0.29403266
107,-1.3410629,0.29711783
108,-1.116795,0.25722656
109,-1.4450946,0.40118513
110,-1.4182402,0.35985342
111,-1.2498357,0.25325936
112,-1.7933975,0.39090592
113,-1.5334222,0.36691612
114,0.22011831,0.9035823
115,-1.4342614,0.36657616
116,-1.529183,0.31343785
117,-1.3688507,0.28816405
118,-1.4472778,0.2715124
119,-0.9397806,0.2704232
120,-1.5950905,0.38427365
121,-1.4722953,0.31685215
122,-1.3833444,0.36415884
123,-1.6393156,0.3963841
124,-1.6834759,0.29323635
125,-1.4193672,0.32694814
126,-1.3187878,0.3417365
127,-1.3328224,0.37396386
128,-1.0125992,0.26451454
129,-1.4704103,0.40617636
130,-1.1588198,0.19698322
131,-1.5337255,0.36814436
132,-1.3164937,0.28663686
133,-1.6308807,0.36005804
134,-1.2120144,0.2529268
135,-1.5130215,0.33888695
136,-1.1707239,0.3214183
137,-1.1759382,0.25885168
138,-1.4539942,0.30586004
139,-0.80371237,0.16873798
140,-1.2737031,0.28539214
141,-1.0424443,0.2154027
142,-1.0088482,0.24094163
143,-1.6368958,0.36780134
144,-1.4109615,0.38585764
145,-1.4184147,0.27415586
146,-1.591462,0.3409564
147,-1.8876228,0.42958254
148,-1.448923,0.29781535
149,-1.556336,0.3816667
150,-1.3355598,0.29397497
151,-0.9294982,0.21956277
152,-1.6666874,0.37498608
153,-0.9680704,0.20720622
