,mean,sd
0,-1.2747824,0.27366152
1,-1.3888389,0.17319724
2,-1.2879435,0.24955837
3,-1.9859196,0.2285754
4,-1.400378,0.2041302
5,-1.3528368,0.19219495
6,-0.92975616,0.15573083
7,-1.4157321,0.1713297
8,-1.5508391,0.19451648
9,-1.7331245,0.22055756
10,-1.0503105,0.17473042
11,-1.2582748,0.1846805
12,-1.0042413,0.15657105
13,-1.5261223,0.18813604
14,-1.3095936,0.18886489
15,-1.374354,0.19857554
16,-1.1262128,0.17096968
17,-1.109004,0.17370358
18,-1.2301905,0.20915322
19,-1.2984291,0.21221583
20,0.022823462,0.2691551
21,-0.12585405,0.4531881
22,-1.6067032,0.19851528
23,-1.173917,0.19501089
24,-1.2729158,0.16674535
25,-1.2754786,0.1428964
26,-1.8691127,0.27607578
27,-0.61707616,0.10130319
28,-1.4131114,0.22482358
29,-1.5404714,0.25237927
30,-0.30557603,0.78137004
31,-1.3530579,0.19009772
32,-1.2664955,0.14596272
33,-1.1978874,0.17535874
34,-1.1736877,0.17881538
35,-1.6100216,0.23836268
36,-1.3869057,0.1809668
37,-1.4641562,0.23266044
38,-1.2089716,0.15835941
39,-1.8106352,0.20859505
40,-1.387981,0.16588032
41,-1.1372303,0.19453141
42,-1.4553838,0.24143648
43,-1.560151,0.20299445
44,-0.1515448,0.42731133
45,-1.3886122,0.20584172
46,-1.4568167,0.21221289
47,0.4001212,0.7633874
48,-2.030291,0.2166521
49,-1.3754944,0.18445969
50,-1.5758908,0.2052999
51,-1.3866704,0.25269943
52,-1.6561203,0.2624939
53,-1.363922,0.22619902
54,-1.2910398,0.22000222
55,-1.8144028,0.24579631
56,-1.193321,0.19764733
57,-1.5214326,0.23076504
58,-1.1192675,0.21732958
59,-1.4416814,0.24399687
60,-1.0070903,0.15783647
61,-1.1495346,0.21351586
62,-1.3256185,0.21888106
63,-0.84359276,0.14988951
64,-1.7935638,0.23742974
65,-1.6436317,0.21917252
66,-1.8294194,0.22948422
67,-1.0771637,0.16595653
68,-1.6290615,0.26365882
69,-1.5597937,0.24288464
70,-1.2906294,0.16762562
71,-1.4479544,0.19713317
72,-1.3885874,0.20582826
73,-1.4552215,0.19155268
74,-1.6567852,0.2204424
75,-1.7472603,0.25889304
76,-1.5556414,0.18264435
77,-1.1811396,0.13764015
78,-1.4333044,0.22505619
79,-1.6039486,0.21993132
80,-1.4054823,0.22961262
81,-1.1988719,0.18491942
82,-0.9507847,0.1487976
83,-1.6413132,0.19344342
84,-1.5243193,0.28701484
85,-1.7128137,0.21992804
86,-1.3138582,0.23850374
87,-1.9539416,0.26538455
88,-1.7012825,0.2794991
89,-1.9740927,0.26344976
90,-1.9007107,0.28887814
91,-2.1125724,0.2592163
92,-1.9560493,0.31243458
93,-0.9389084,0.13645117
94,-1.9516621,0.2205382
95,-1.1410636,0.20479035
96,-1.2908976,0.24245974
97,-0.018320717,0.2825572
98,-1.23308,0.17831638
99,-1.385391,0.24435791
100,-1.5398896,0.236148
101,-1.5919113,0.1923063
102,-1.4994736,0.24561028
103,-1.4909425,0.25522327
104,-1.6670101,0.23379341
105,-0.030489022,0.39256763
106,-1.5469248,0.1789986
107,-1.3295252,0.22582471
108,-1.2508866,0.15509044
109,-1.3632799,0.2564551
110,-1.5665398,0.2409307
111,-1.2701944,0.18074709
112,-1.8615665,0.24233477
113,-1.5335112,0.23637131
114,0.156068,0.5721679
115,-1.425257,0.25464708
116,-1.5781443,0.20991933
117,-1.3200481,0.20943967
118,-1.5639143,0.16616382
119,-0.95957977,0.17970538
120,-1.6237816,0.25183168
121,-1.7270714,0.20016247
122,-1.3687804,0.23246337
123,-1.8763516,0.24826038
124,-1.6399103,0.21692647
125,-1.6289755,0.21135171
126,-1.3337004,0.23203132
127,-1.3630714,0.24330679
128,-1.0517063,0.15607154
129,-1.4582891,0.25583243
130,-1.1497675,0.13332695
131,-1.425174,0.24171105
132,-1.3707197,0.20735921
133,-1.6919212,0.23901185
134,-1.2589293,0.16736653
135,-1.5074159,0.23351057
136,-1.1044071,0.21775001
137,-1.163842,0.200749
138,-1.4403542,0.2254202
139,-0.81154823,0.10773817
140,-1.2391863,0.1841451
141,-1.0982792,0.15738952
142,-0.97771627,0.15133381
143,-1.6302264,0.24249318
144,-1.5246123,0.24946296
145,-1.6208408,0.1576721
146,-1.7271401,0.22379524
147,-1.9169872,0.26705968
148,-1.4898764,0.19182457
149,-1.7058086,0.2264024
150,-1.3204707,0.1963872
151,-0.8513546,0.13820198
152,-1.6859719,0.25315008
153,-1.0580095,0.13172697
154,-1.2154722,0.13157348
155,-1.2476212,0.24588266
156,-1.7077976,0.26107413
157,-0.86966133,0.15396766
158,-0.74253833,0.13528845
159,-1.6161911,0.18180676
160,-1.5579662,0.22430791
161,-1.1656287,0.19884574
162,-1.6416099,0.22569145
163,-1.6766697,0.2778229
164,-1.7100332,0.27970022
165,-1.3375279,0.25552934
166,-1.6029408,0.2129474
167,-1.0937364,0.12389217
168,-1.7849197,0.254748
169,-1.6505295,0.24695279
170,-1.2985294,0.19054903
171,-1.425443,0.18604697
172,-1.6123579,0.20664887
173,-0.64977205,0.11558369
174,-1.1979587,0.15978895
175,-1.8370104,0.27265468
176,-1.6243553,0.23995563
177,-0.9887646,0.14753477
178,-1.2460248,0.14533214
179,-1.7670349,0.25002578
180,-1.3502041,0.22150937
181,-1.3974183,0.20760746
182,-0.9399477,0.14799029
183,-1.5334034,0.24497059
184,-1.4993166,0.24885367
185,-1.1987034,0.179633
186,-1.415953,0.2297363
187,-1.4883429,0.1674015
188,-1.4325335,0.20242251
189,-1.3073046,0.20940642
190,-1.6822507,0.19394802
191,-1.5293643,0.18569592
192,-1.4619241,0.22392306
193,-1.481092,0.23190852
194,-1.0611217,0.15641734
195,-1.6110595,0.19369267
196,-1.5952222,0.21671635
197,-1.5374907,0.28417635
198,-1.2300609,0.20008999
199,-1.4210862,0.23144428
200,-1.7212158,0.20638183
201,-1.8138272,0.228091
202,-0.99629307,0.14735797
203,-0.45823374,0.8307034
204,-1.4606786,0.24399619
205,-0.046741255,0.22460783
