,mean,sd
0,-0.8434439,0.25792092
1,-0.5392131,0.20227392
2,-0.7580236,0.18566014
3,-0.72763044,0.19263305
4,-0.65787697,0.1686955
5,-0.66819525,0.2289608
6,-0.49912897,0.105125576
7,-0.63146603,0.16350354
8,-0.85150397,0.14955683
9,-0.8713274,0.21722741
10,-0.6467459,0.15559037
11,-0.9526495,0.17198497
12,-0.5560318,0.13741988
13,-0.9248006,0.16977656
14,-0.73958987,0.16989747
15,-0.76064914,0.115599625
16,-0.7292784,0.11314638
17,-0.5534929,0.18110768
18,-0.7898022,0.16614823
19,-0.87962437,0.13496609
20,0.33035097,0.18911983
21,-0.29921708,0.15858829
22,-0.6502581,0.16066305
23,-0.5450155,0.12877607
24,-0.44166994,0.14036725
25,-0.68863326,0.13517211
26,-1.0038178,0.1844401
27,-0.23453572,0.08304731
28,-1.0132983,0.16063897
29,-0.7897938,0.16077593
30,1.4717007,0.5587199
31,-0.8275235,0.16528477
32,-0.5235302,0.16124353
33,-0.61860615,0.08866566
34,-0.5100411,0.17714019
35,-0.792864,0.28387064
36,-0.48325044,0.26617885
37,-0.5892909,0.21085991
38,-0.6425893,0.116763495
39,-0.9000851,0.19447677
40,-0.64394665,0.12466865
41,-0.6640806,0.12679262
42,-0.7042003,0.23814158
43,-0.5837825,0.18710808
44,-0.18425739,0.4342131
45,-0.7983355,0.15092748
46,-0.61061,0.21870969
47,0.40274438,0.63549024
48,-0.73198426,0.23257142
49,-0.61931676,0.21737352
50,-0.7734319,0.19004361
51,-0.5489324,0.20813717
52,-0.8831781,0.21342082
53,-0.98011905,0.20225635
54,-0.62175804,0.17858747
55,-0.8872827,0.23655067
56,-0.56148726,0.18549377
57,-0.9059148,0.14500996
58,-0.6204573,0.11697777
59,-0.8473314,0.1609548
60,-0.5438544,0.18013343
61,-0.5561689,0.13312581
62,-0.7075167,0.14007138
63,-0.44025144,0.09348065
64,-0.6733102,0.19530961
65,-0.9376532,0.16909459
66,-0.76962364,0.25325373
67,-0.54518,0.103957556
68,-0.86260396,0.17767574
69,-0.91222304,0.27201086
70,-0.4309925,0.17489457
71,-0.7534498,0.17045014
72,-0.7879545,0.1784472
73,-0.6879672,0.18747671
74,-0.835409,0.2162509
75,-0.75747365,0.29428464
76,-0.9363138,0.19308609
77,-0.6816239,0.13763206
