p,alpha,ndcg,avgpop@10,gini@10,cov@10,covn@10,ndcgpassive@10,ndcgneutral@10,ndcgactive@10,ndcgtail@10,ndcgmid@10,ndcghead@10,ndcgtailuser@10,ndcgmiduser@10,ndcgheaduser@10,epochtime
-1,-1,0.1213,835.3619,0.742,0.6722,0.4797,0.1271,0.1271,0.0688,0.0541,0.0541,0.0672,0.1193,0.1193,0.1395,4.185065269
0.01,0.01,0.1213,835.3619,0.742,0.6722,0.4797,0.1271,0.1271,0.0688,0.0541,0.0541,0.0672,0.1193,0.1193,0.1395,6.785305977
0.01,0.05,0.1213,835.3619,0.742,0.6722,0.4797,0.1271,0.1271,0.0688,0.0541,0.0541,0.0672,0.1193,0.1193,0.1395,6.684054852
0.01,0.1,0.1213,835.3619,0.742,0.6722,0.4797,0.1271,0.1271,0.0688,0.0541,0.0541,0.0672,0.1193,0.1193,0.1395,6.631513119
0.05,0.01,0.1213,835.3619,0.742,0.6722,0.4797,0.1271,0.1271,0.0688,0.0541,0.0541,0.0672,0.1193,0.1193,0.1395,6.650947571
0.05,0.05,0.1213,835.3619,0.742,0.6722,0.4797,0.1271,0.1271,0.0688,0.0541,0.0541,0.0672,0.1193,0.1193,0.1395,6.660123825
0.05,0.1,0.1213,835.3619,0.742,0.6722,0.4797,0.1271,0.1271,0.0688,0.0541,0.0541,0.0672,0.1193,0.1193,0.1395,6.665259361
0.1,0.01,0.1213,835.3619,0.742,0.6722,0.4797,0.1271,0.1271,0.0688,0.0541,0.0541,0.0672,0.1193,0.1193,0.1395,7.784386635
0.1,0.05,0.1213,835.3619,0.742,0.6722,0.4797,0.1271,0.1271,0.0688,0.0541,0.0541,0.0672,0.1193,0.1193,0.1395,7.922409534
0.1,0.1,0.1213,835.3619,0.742,0.6722,0.4797,0.1271,0.1271,0.0688,0.0541,0.0541,0.0672,0.1193,0.1193,0.1395,7.261594296
0.2,0.01,0.1213,835.3619,0.742,0.6722,0.4797,0.1271,0.1271,0.0688,0.0541,0.0541,0.0672,0.1193,0.1193,0.1395,6.692728996
0.2,0.05,0.1213,835.3619,0.742,0.6722,0.4797,0.1271,0.1271,0.0688,0.0541,0.0541,0.0672,0.1193,0.1193,0.1395,6.62857151
0.2,0.1,0.1213,835.3619,0.742,0.6722,0.4797,0.1271,0.1271,0.0688,0.0541,0.0541,0.0672,0.1193,0.1193,0.1395,6.790662766
0.4,0.01,0.1213,835.3619,0.742,0.6722,0.4797,0.1271,0.1271,0.0688,0.0541,0.0541,0.0672,0.1193,0.1193,0.1395,7.081125259
0.4,0.05,0.1213,835.3619,0.742,0.6722,0.4797,0.1271,0.1271,0.0688,0.0541,0.0541,0.0672,0.1193,0.1193,0.1395,7.027282715
0.4,0.1,0.1191,807.8473,0.7269,0.7164,0.4993,0.125,0.125,0.0667,0.053,0.053,0.0662,0.1172,0.1172,0.1365,6.853273392
0.6,0.01,0.119,807.8473,0.7269,0.7164,0.4993,0.1248,0.1248,0.0666,0.0529,0.0529,0.0661,0.1171,0.1171,0.1364,6.677088261
0.6,0.05,0.1158,788.9586,0.7248,0.715,0.5022,0.1217,0.1217,0.0633,0.0509,0.0509,0.0649,0.1137,0.1137,0.1351,6.842096329
0.6,0.1,0.1153,788.9586,0.7248,0.715,0.5022,0.1211,0.1211,0.0629,0.0506,0.0506,0.0648,0.1132,0.1132,0.1347,6.697206497
0.8,0.01,0.1116,766.1267,0.729,0.7035,0.4949,0.1172,0.1172,0.0613,0.048,0.048,0.0637,0.1091,0.1091,0.1346,6.815952301
0.8,0.05,0.1105,766.1267,0.729,0.7035,0.4949,0.116,0.116,0.0604,0.0472,0.0472,0.0633,0.1079,0.1079,0.1336,6.709362507
0.8,0.1,0.1078,759.1283,0.731,0.6992,0.4931,0.1133,0.1133,0.0579,0.0455,0.0455,0.0623,0.1051,0.1051,0.1325,6.975160599
1,0.01,0.0879,745.5025,0.7397,0.6696,0.4817,0.0935,0.0935,0.0377,0.0315,0.0315,0.0565,0.0846,0.0846,0.1181,7.554269791
1,0.05,0.0879,745.5025,0.7397,0.6696,0.4817,0.0935,0.0935,0.0377,0.0315,0.0315,0.0565,0.0846,0.0846,0.1181,7.851301193
1,0.1,0.0879,745.5025,0.7397,0.6696,0.4817,0.0935,0.0935,0.0377,0.0315,0.0315,0.0565,0.0846,0.0846,0.1181,7.080189705
