alpha_u,alpha_n,alpha_i,ndcg,avgpop@10,gini@10,cov@10,covn@10,ndcgpassive@10,ndcgneutral@10,ndcgactive@10,ndcgtail@10,ndcgmid@10,ndcghead@10,ndcgtailuser@10,ndcgmiduser@10,ndcgheaduser@10,epochtime
0,,0,0.1213,835.3619,0.742,0.6722,0.4797,0.1271,0.1271,0.0695,0.0541,0.0541,0.0672,0.1193,0.1193,0.1395,epochtime
0.01,,0.01,0.1209,833.9353,0.7397,0.6933,0.4802,0.1267,0.1267,0.069,0.054,0.054,0.0669,0.1189,0.1189,0.139,epochtime
0.01,,0.05,0.1209,833.958,0.7397,0.6933,0.4802,0.1267,0.1267,0.069,0.054,0.054,0.0669,0.1189,0.1189,0.139,epochtime
0.01,,0.1,0.1209,834.0869,0.7398,0.693,0.4794,0.1267,0.1267,0.069,0.054,0.054,0.0669,0.1189,0.1189,0.139,epochtime
0.05,,0.01,0.1195,830.5617,0.7347,0.7176,0.4879,0.1254,0.1254,0.0662,0.053,0.053,0.0665,0.1173,0.1173,0.139,epochtime
0.05,,0.05,0.1195,830.5843,0.7347,0.7173,0.4881,0.1254,0.1254,0.0662,0.053,0.053,0.0665,0.1173,0.1173,0.139,epochtime
0.05,,0.1,0.1195,830.7921,0.7349,0.7167,0.4873,0.1254,0.1254,0.0662,0.053,0.053,0.0665,0.1173,0.1173,0.139,epochtime
0.1,,0.01,0.1178,826.057,0.7298,0.729,0.4993,0.1237,0.1237,0.0649,0.0516,0.0516,0.0662,0.1155,0.1155,0.1387,epochtime
0.1,,0.05,0.1178,826.0698,0.7298,0.729,0.4993,0.1237,0.1237,0.0649,0.0516,0.0516,0.0662,0.1155,0.1155,0.1387,epochtime
0.1,,0.1,0.1179,826.3487,0.7301,0.7278,0.4987,0.1237,0.1237,0.0649,0.0517,0.0517,0.0662,0.1155,0.1155,0.1387,epochtime
0.2,,0.01,0.1145,818.5924,0.7245,0.7334,0.5089,0.1202,0.1202,0.0629,0.0493,0.0493,0.0652,0.1125,0.1125,0.1321,epochtime
0.2,,0.05,0.1145,818.6052,0.7245,0.7334,0.5086,0.1202,0.1202,0.0629,0.0493,0.0493,0.0652,0.1125,0.1125,0.1321,epochtime
0.2,,0.1,0.1145,818.9776,0.7248,0.7319,0.5083,0.1203,0.1203,0.0629,0.0493,0.0493,0.0652,0.1126,0.1126,0.1321,epochtime
0.4,,0.01,0.1098,803.06,0.7198,0.7325,0.5165,0.1156,0.1156,0.0576,0.0462,0.0462,0.0636,0.1077,0.1077,0.129,epochtime
0.4,,0.05,0.1098,803.0728,0.7198,0.7325,0.5168,0.1156,0.1156,0.0576,0.0462,0.0462,0.0636,0.1077,0.1077,0.129,epochtime
0.4,,0.1,0.1098,803.5511,0.7201,0.7325,0.5165,0.1156,0.1156,0.0576,0.0463,0.0463,0.0636,0.1077,0.1077,0.129,epochtime
0.6,,0.01,0.1024,784.2219,0.722,0.7202,0.5101,0.1084,0.1084,0.0482,0.0411,0.0411,0.0613,0.0998,0.0998,0.1255,epochtime
0.6,,0.05,0.1024,784.1989,0.722,0.7202,0.5101,0.1084,0.1084,0.0482,0.0411,0.0411,0.0613,0.0998,0.0998,0.1255,epochtime
0.6,,0.1,0.1026,784.966,0.7219,0.7211,0.5101,0.1086,0.1086,0.0486,0.0413,0.0413,0.0613,0.1,0.1,0.1255,epochtime
0.8,,0.01,0.0955,765.2288,0.7297,0.7,0.4955,0.1013,0.1013,0.0434,0.0366,0.0366,0.0589,0.0924,0.0924,0.1235,epochtime
0.8,,0.05,0.0955,765.2288,0.7297,0.7,0.4955,0.1013,0.1013,0.0434,0.0366,0.0366,0.0589,0.0924,0.0924,0.1235,epochtime
0.8,,0.1,0.0959,766.2073,0.7292,0.7024,0.496,0.1016,0.1016,0.0443,0.0369,0.0369,0.0589,0.0928,0.0928,0.1235,epochtime
1.0,,0.01,0.0943,756.4548,0.7726,0.6541,0.4557,0.0988,0.0988,0.0538,0.0429,0.0429,0.0514,0.0927,0.0927,0.1078,epochtime
1.0,,0.05,0.0943,756.4548,0.7726,0.6541,0.4557,0.0988,0.0988,0.0538,0.0429,0.0429,0.0514,0.0927,0.0927,0.1078,epochtime
1.0,,0.1,0.0943,756.4548,0.7726,0.6541,0.4557,0.0988,0.0988,0.0538,0.0429,0.0429,0.0514,0.0927,0.0927,0.1078,epochtime
